ID,표지URL,도서명,저자,출판사,출판일,ISBN,교보문고,Yes24,알라딘,기타,수준별,내용별,등록일
B001,,McKnight의 자연지리학 (제12판),Darrel Hess / 윤순옥 등역,시그마프레스,2019-03-01,,https://product.kyobobook.co.kr/detail/S000001810562,https://www.yes24.com/Product/Goods/70861737,,,,대학/임용,자연지리,2026-03-08
B002,,한국의 자연지리,김종욱 외,서울대학교출판문화원,,,https://product.kyobobook.co.kr/detail/S000000719293,,,,,대학/임용,자연지리,2026-03-08
B003,,기후학,이승호,푸른길,,,https://product.kyobobook.co.kr/detail/S000000977845,,,,,대학/임용,기후,2026-03-08
B004,,원리로 이해하는 기후학,이광률,가디언북,,,https://product.kyobobook.co.kr/detail/S000213990799,,,,,대학/임용,기후,2026-03-08
B005,,기후와 문명,노의근,연세대학교 대학출판문화원,,,https://product.kyobobook.co.kr/detail/S000001058607,,,,,대학/임용,기후,2026-03-08
B006,,파란하늘 빨간지구,조천호,동아시아,,,https://product.kyobobook.co.kr/detail/S000000971010,,,,,교양,기후,2026-03-08
B007,,지형학 (제4판),권혁재,법문사,,,https://product.kyobobook.co.kr/detail/S000000454651,,,,,대학/임용,지형,2026-03-08
B008,,이미지로 이해하는 지형학 (3판),이광률,가디언북,,,https://product.kyobobook.co.kr/detail/S000215836871,,,,,대학/임용,지형,2026-03-08
B009,,지형학의 기초,김종욱,서울대학교출판문화원,,,https://product.kyobobook.co.kr/detail/S000000719815,,,,,대학/임용,지형,2026-03-08
B010,,지형학 원리 (3판),Richard John Huggett / 윤순옥 외역,시그마프레스,,,https://product.kyobobook.co.kr/detail/S000001624886,,,,,대학/임용,지형,2026-03-08
B011,,지형학 입문: 지형과 그 형성 과정,에이드리언 하비 / 이민부 외역,푸른길,,,https://product.kyobobook.co.kr/detail/S000000977619,,,,,대학/임용,지형,2026-03-08
B012,,한국의 뢰스 지형학,윤순옥,경희대학교출판문화원,,,https://product.kyobobook.co.kr/detail/S000061776353,,,,,대학/임용,지형,2026-03-08
B013,,인문지리학의 시선 (개정3판),전종한 외,사회평론아카데미,2017-09-01,,https://product.kyobobook.co.kr/detail/S000001910468,https://www.yes24.com/Product/Goods/46829123,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=117838905,,대학/임용,인문지리,2026-03-08
B014,,인문 지리학 개론,한국지역지리학회,한울아카데미,,,https://product.kyobobook.co.kr/detail/S000000685023,,,,,대학/임용,인문지리,2026-03-08
B015,,현대인문지리학 (10판),James M. Rubenstein / 정수열 등역,시그마프레스,2012-03-01,,https://product.kyobobook.co.kr/detail/S000001059276,https://www.yes24.com/Product/Goods/7041557,,,,대학/임용,인문지리,2026-03-08
B016,,인구지리학 개론 (제4판),K. Bruce Newbold / 이건학 외역,시그마프레스,2025-02-01,,https://product.kyobobook.co.kr/detail/S000215913223,https://www.yes24.com/Product/Goods/143049155,,,,대학/임용,인문지리,2026-03-08
B017,,문화지리학개론,존 호턴 · 피터 크래프틀 / 김수정 · 박경환 역,사회평론아카데미,2025-03-01,,,https://www.yes24.com/Product/Goods/143302129,,,,대학/임용,문화,2026-03-08
B018,,현대 문화지리의 이해,한국문화역사지리학회,푸른길,,,https://product.kyobobook.co.kr/detail/S000000977570,,,,,대학/임용,문화,2026-03-08
B019,,도시지리학개론,한국도시지리학회,법문사,2019-12-01,,https://product.kyobobook.co.kr/detail/S000000454983,https://www.yes24.com/Product/Goods/84888709,,,,대학/임용,도시,2026-03-08
B020,,도시지리학,David H. Kaplan 외 / 역,시그마프레스,,,https://product.kyobobook.co.kr/detail/S000001059276,,,,,대학/임용,도시,2026-03-08
B021,,도시의 미래 탐구,한국도시지리학회,법문사,,,https://product.kyobobook.co.kr/detail/S000219337491,,,,,대학/임용,도시,2026-03-08
B022,,경제지리학개론,대니 맥키넌 · 앤드루 컴버스 / 박경환 외역,사회평론아카데미,2021-02-01,,https://product.kyobobook.co.kr/detail/S000001933589,https://www.yes24.com/Product/Goods/97947863,,,,대학/임용,경제,2026-03-08
B023,,경제지리학 (제4판),이희연,법문사,2018-07-01,,,https://www.yes24.com/Product/Goods/61957310,,,,대학/임용,경제,2026-03-08
B024,,현대 경제지리학 강의 (3판),닐 코 · 필립 켈리 · 헨리 영 / 안영진 · 남기범 역,푸른길,2024-07-01,,,https://www.yes24.com/Product/Goods/129777648,,,,대학/임용,경제,2026-03-08
B025,,직업의 지리학,엔리코 모레티 / 송철복 역,김영사,2014-07-01,8934968397,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=43210477,,교양,경제,2026-03-08
B026,,GIS 지리정보학: 이론과 실습 (2판),이희연 · 심재헌,법문사,,,https://product.kyobobook.co.kr/detail/S000000454658,,,,,대학/임용,지도·GIS,2026-03-08
